config,Tokens,Documents,Tokens/Document
bg_caselaw,179453583,104434,1718
cs_caselaw,1449235827,342242,4234
da_caselaw,87395311,63770,1370
de_caselaw,3162577745,614516,5146
el_caselaw,386130014,105138,3672
en_caselaw,29597785459,6689901,4424
es_caselaw,312501137,104312,2995
et_caselaw,188899781,105111,1797
fi_caselaw,280391862,105119,2667
fr_caselaw,1933538969,495929,3898
ga_caselaw,1322015,105205,12
hr_caselaw,108134448,104434,1035
hu_caselaw,206954585,105144,1968
it_caselaw,375962240,128769,2919
lt_caselaw,202588185,105477,1920
lv_caselaw,205473532,105242,1952
mt_caselaw,320156230,105479,3035
nl_caselaw,338694761,105005,3225
pl_caselaw,212977774,105479,2019
pt_caselaw,349327785,114935,3039
ro_caselaw,187613531,105516,1778
sk_caselaw,205490717,105608,1945
sl_caselaw,192339474,105608,1821
sv_caselaw,276785972,105980,2611
all_caselaw,40761730937,10238353,3981
bg_contracts,54294524,11581,4688
cs_contracts,55008615,11581,4749
da_contracts,64738297,11582,5589
de_contracts,67188513,11580,5802
el_contracts,77738992,11584,6710
en_contracts,11019906096,1652978,6666
es_contracts,64131203,11581,5537
et_contracts,51558677,11584,4450
fi_contracts,56305341,11584,4860
fr_contracts,71340724,11580,6160
ga_contracts,3544433,11586,305
hr_contracts,44372755,11581,3831
hu_contracts,54481362,11586,4702
it_contracts,66036352,11580,5702
lt_contracts,33148829,4051,8182
lv_contracts,54724543,11630,4705
mt_contracts,79787487,11675,6834
nl_contracts,70124352,11584,6053
pl_contracts,55384447,11680,4741
pt_contracts,61127624,11581,5278
ro_contracts,54663108,11675,4682
sk_contracts,54700961,11676,4684
sl_contracts,51487014,11676,4409
sv_contracts,54192873,11676,4641
all_contracts,12319987122,1912452,6441
bg_legislation,535231853,262225,2041
cs_legislation,670182808,333693,2008
da_legislation,1184168170,296727,3990
de_legislation,942524480,302381,3117
el_legislation,914238385,232945,3924
en_legislation,3306541872,387886,8524
es_legislation,700783370,232550,3013
et_legislation,472100954,232920,2026
fi_legislation,589904549,232930,2532
fr_legislation,1010951086,253780,3983
ga_legislation,124528112,232987,534
hr_legislation,327161206,232676,1406
hu_legislation,534830656,259696,2059
it_legislation,885945529,238133,3720
lt_legislation,354534710,111289,3185
lv_legislation,492248120,233047,2112
mt_legislation,741641404,233138,3181
nl_legislation,952181006,243374,3912
pl_legislation,578473661,260675,2219
pt_legislation,710793792,232556,3056
ro_legislation,1058391111,396373,2670
sk_legislation,551207593,246341,2237
sl_legislation,666354931,257735,2585
sv_legislation,579092730,233395,2481
all_legislation,18884012088,6179452,3055
bg_other,2349869,204,11518
cs_other,1854032189,358094,5177
da_other,9100173,1724,5278
de_other,6445195067,2042912,3154
el_other,11955799,2503,4776
en_other,6564602623,1227629,5347
es_other,4721574031,716434,6590
et_other,136795301,30652,4462
fi_other,2045785650,295257,6928
fr_other,2729939226,510463,5347
ga_other,1053752,226,4662
hu_other,311464827,41574,7491
it_other,2904461592,655050,4433
lt_other,47305045,5282,8955
lv_other,60159,10,6015
mt_other,87744038,6857,12796
nl_other,20064370,3890,5157
pl_other,2460480111,508405,4839
pt_other,1119830380,206300,5428
ro_other,492373995,74828,6580
sk_other,341420661,69952,4880
sl_other,105533980,16677,6328
sv_other,448546808,91366,4909
all_other,32861669646,6866289,4785
bg_all,771329829,378444,2038
cs_all,4028459439,1045610,3852
da_all,1623056958,402709,4030
de_all,10617485805,2971389,3573
el_all,1390063190,352170,3947
en_all,50488836050,9958394,5069
es_all,5798989741,1064877,5445
et_all,849354713,380267,2233
fi_all,2972387402,644890,4609
fr_all,5745770005,1271752,4517
ga_all,130448312,350004,372
hr_all,479668409,348691,1375
hu_all,1107731430,418000,2650
it_all,4515303714,1063976,4243
lt_all,804628037,205847,3908
lv_all,752506354,349929,2150
mt_all,1229329159,357149,3442
nl_all,1381064489,363853,3795
pl_all,3307315993,886239,3731
pt_all,2241079581,565372,3963
ro_all,1793041745,588392,3047
sk_all,1152819932,433577,2658
sl_all,1015715399,391696,2593
sv_all,1358618383,442417,3070
all_all,105555004069,25235644,4182
