Language,Source,Size (MB),Tokens,Documents,Tokens/Document
all,all,593742.0,105555004069,25235644,4182
all,caselaw,211623.0,40761730937,10238353,3981
all,contracts,67369.0,12319987122,1912452,6441
all,legislation,154615.0,18884012088,6179452,3055
all,other,160135.0,32861669646,6866289,4785
bg,all,8437.0,771329829,378444,2038
bg,caselaw,1545.0,179453583,104434,1718
bg,contracts,601.0,54294524,11581,4688
bg,legislation,6275.0,535231853,262225,2041
bg,other,16.0,2349869,204,11518
cs,all,21068.0,4028459439,1045610,3852
cs,caselaw,5312.0,1449235827,342242,4234
cs,contracts,448.0,55008615,11581,4749
cs,legislation,6724.0,670182808,333693,2008
cs,other,8585.0,1854032189,358094,5177
da,all,10881.0,1623056958,402709,4030
da,caselaw,1964.0,87395311,63770,1370
da,contracts,504.0,64738297,11582,5589
da,legislation,8368.0,1184168170,296727,3990
da,other,45.0,9100173,1724,5278
de,all,56564.0,10617485805,2971389,3573
de,caselaw,15672.0,3162577745,614516,5146
de,contracts,528.0,67188513,11580,5802
de,legislation,7550.0,942524480,302381,3117
de,other,32814.0,6445195067,2042912,3154
el,all,12407.0,1390063190,352170,3947
el,caselaw,2895.0,386130014,105138,3672
el,contracts,697.0,77738992,11584,6710
el,legislation,8736.0,914238385,232945,3924
el,other,79.0,11955799,2503,4776
en,all,256364.0,50488836050,9958394,5069
en,caselaw,152304.0,29597785459,6689901,4424
en,contracts,56491.0,11019906096,1652978,6666
en,legislation,19333.0,3306541872,387886,8524
en,other,28236.0,6564602623,1227629,5347
es,all,33832.0,5798989741,1064877,5445
es,caselaw,1834.0,312501137,104312,2995
es,contracts,514.0,64131203,11581,5537
es,legislation,6159.0,700783370,232550,3013
es,other,25326.0,4721574031,716434,6590
et,all,6702.0,849354713,380267,2233
et,caselaw,1047.0,188899781,105111,1797
et,contracts,434.0,51558677,11584,4450
et,legislation,4563.0,472100954,232920,2026
et,other,657.0,136795301,30652,4462
fi,all,17349.0,2972387402,644890,4609
fi,caselaw,1562.0,280391862,105119,2667
fi,contracts,461.0,56305341,11584,4860
fi,legislation,5258.0,589904549,232930,2532
fi,other,10067.0,2045785650,295257,6928
fr,all,30300.0,5745770005,1271752,4517
fr,caselaw,9119.0,1933538969,495929,3898
fr,contracts,533.0,71340724,11580,6160
fr,legislation,7648.0,1010951086,253780,3983
fr,other,12999.0,2729939226,510463,5347
ga,all,1028.0,130448312,350004,372
ga,caselaw,10.0,1322015,105205,12
ga,contracts,19.0,3544433,11586,305
ga,legislation,995.0,124528112,232987,534
ga,other,4.0,1053752,226,4662
hr,all,4566.0,479668409,348691,1375
hr,caselaw,600.0,108134448,104434,1035
hr,contracts,449.0,44372755,11581,3831
hr,legislation,3517.0,327161206,232676,1406
hu,all,8495.0,1107731430,418000,2650
hu,caselaw,1246.0,206954585,105144,1968
hu,contracts,468.0,54481362,11586,4702
hu,legislation,5171.0,534830656,259696,2059
hu,other,1610.0,311464827,41574,7491
it,all,25957.0,4515303714,1063976,4243
it,caselaw,3396.0,375962240,128769,2919
it,contracts,525.0,66036352,11580,5702
it,legislation,7282.0,885945529,238133,3720
it,other,14754.0,2904461592,655050,4433
lt,all,6567.0,804628037,205847,3908
lt,caselaw,1106.0,202588185,105477,1920
lt,contracts,450.0,33148829,4051,8182
lt,legislation,4795.0,354534710,111289,3185
lt,other,217.0,47305045,5282,8955
lv,all,6299.0,752506354,349929,2150
lv,caselaw,1122.0,205473532,105242,1952
lv,contracts,450.0,54724543,11630,4705
lv,legislation,4726.0,492248120,233047,2112
lv,other,0.0,60159,10,6015
mt,all,6759.0,1229329159,357149,3442
mt,caselaw,1134.0,320156230,105479,3035
mt,contracts,469.0,79787487,11675,6834
mt,legislation,4887.0,741641404,233138,3181
mt,other,269.0,87744038,6857,12796
nl,all,9799.0,1381064489,363853,3795
nl,caselaw,1814.0,338694761,105005,3225
nl,contracts,526.0,70124352,11584,6053
nl,legislation,7360.0,952181006,243374,3912
nl,other,99.0,20064370,3890,5157
pl,all,18701.0,3307315993,886239,3731
pl,caselaw,1200.0,212977774,105479,2019
pl,contracts,464.0,55384447,11680,4741
pl,legislation,5270.0,578473661,260675,2219
pl,other,11767.0,2460480111,508405,4839
pt,all,14300.0,2241079581,565372,3963
pt,caselaw,1933.0,349327785,114935,3039
pt,contracts,502.0,61127624,11581,5278
pt,legislation,6143.0,710793792,232556,3056
pt,other,5721.0,1119830380,206300,5428
ro,all,11883.0,1793041745,588392,3047
ro,caselaw,1081.0,187613531,105516,1778
ro,contracts,479.0,54663108,11675,4682
ro,legislation,7839.0,1058391111,396373,2670
ro,other,2484.0,492373995,74828,6580
sk,all,8293.0,1152819932,433577,2658
sk,caselaw,1130.0,205490717,105608,1945
sk,contracts,457.0,54700961,11676,4684
sk,legislation,5072.0,551207593,246341,2237
sk,other,1634.0,341420661,69952,4880
sl,all,7564.0,1015715399,391696,2593
sl,caselaw,1043.0,192339474,105608,1821
sl,contracts,439.0,51487014,11676,4409
sl,legislation,5600.0,666354931,257735,2585
sl,other,481.0,105533980,16677,6328
sv,all,9627.0,1358618383,442417,3070
sv,caselaw,1552.0,276785972,105980,2611
sv,contracts,461.0,54192873,11676,4641
sv,legislation,5344.0,579092730,233395,2481
sv,other,2270.0,448546808,91366,4909
