config,Tokens,Documents,Tokens/Document
bg,2349869,204,11518
cs,1854032189,358094,5177
da,9100173,1724,5278
bg,2349869,204,11518
cs,1854032189,358094,5177
da,9100173,1724,5278
bg,2349869,204,11518
bg,2349869,204,11518
bg,2349869,204,11518
cs,1854032189,358094,5177
da,9100173,1724,5278
el,11955799,2503,4776
et,136795301,30652,4462
fi,2045785650,295257,6928
fr,2729939226,510463,5347
ga,1053752,226,4662
it,2904461592,655050,4433
lt,47305045,5282,8955
lv,60159,10,6015
mt,87744038,6857,12796
nl,20064370,3890,5157
pl,2460480111,508405,4839
pt,1119830380,206300,5428
ro,492373995,74828,6580
sk,341420661,69952,4880
sl,105533980,16677,6328
sv,448546808,91366,4909
all,14818833098,2837740,5222
de,6445195067,2042912,3154
en,5985055744,1187291,5040
es,4721574031,716434,6590
hu,311464827,41574,7491
